City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
339,Rumford,44.5537,-70.5509,46.2,69,98,1.77
340,Katsuura,35.1333,140.3,64.0,85,100,9.51
341,Saint-Augustin,51.226,-58.6502,33.35,82,15,7.43
342,Yekaterinogradskaya,43.7635,44.2317,51.67,74,100,4.9
343,Sangar,63.9242,127.4739,37.24,84,100,9.57
344,Tual,-5.6667,132.75,83.66,79,99,9.46
345,Toora-Khem,52.4675,96.11,38.08,30,100,9.4
346,San Miguel,13.4833,-88.1833,83.86,74,20,2.3
347,Solnechnyy,50.7214,136.6319,56.16,48,15,10.8
348,Paysandu,-32.3214,-58.0756,54.88,91,6,5.08
349,Bontang,0.1333,117.5,85.71,74,71,4.72
350,Jacareacanga,-6.2222,-57.7528,72.93,97,98,2.06
351,Lucapa,-8.4192,20.7447,65.05,75,3,3.69
352,Si Sa Ket,14.8333,104.3333,89.01,53,58,7.14
353,Saint George,37.1041,-113.5841,72.19,10,0,34.52
354,Kysyl-Syr,63.8986,122.7617,29.61,71,100,12.37
355,Torbay,47.6666,-52.7314,35.28,87,40,6.91
356,Calvinia,-31.4707,19.776,49.59,57,86,4.45
357,Santa Marta,11.2408,-74.199,84.88,74,75,5.99
358,Narsaq,60.9167,-46.05,41.22,86,59,1.03
359,Mabaruma,8.2,-59.7833,72.88,98,49,2.42
360,Husavik,66.0449,-17.3389,42.84,90,100,5.35
361,Severnoye,56.3491,78.3619,53.65,51,88,4.99
362,Volchikha,52.0333,80.3833,56.71,41,11,9.86
363,Hailey,43.5196,-114.3153,30.99,66,29,5.99
364,Lamu,-2.2717,40.902,79.02,84,52,13.0
365,La Primavera,5.4906,-70.4092,76.35,89,82,2.91
366,Vao,-22.6667,167.4833,74.73,66,100,19.19
367,Bustamante,26.5333,-100.5,87.75,52,34,5.79
368,Ahuimanu,21.4447,-157.8378,78.51,74,100,14.97
369,Golden,39.7555,-105.2211,71.15,26,20,14.97
370,Vanimo,-2.6741,141.3028,86.85,67,100,10.6
371,Hobbs,32.7026,-103.136,79.2,6,20,11.5
372,Pitea,65.3172,21.4794,37.49,74,64,4.72
373,Le Mars,42.7942,-96.1656,60.76,100,100,13.8
374,Achinsk,56.2694,90.4993,42.82,31,36,11.39
375,Ixtapa,20.7,-105.2,76.23,83,20,0.0
376,Asyut,27.181,31.1837,80.98,17,40,5.75
377,Keetmanshoop,-26.5833,18.1333,49.39,41,41,7.49
378,Nara,34.6851,135.8049,62.49,36,99,5.93
379,Kilindoni,-7.9139,39.6668,80.92,75,95,15.41
380,Batticaloa,7.7102,81.6924,88.05,63,90,10.6
381,Portland,45.5234,-122.6762,44.73,91,99,3.0
382,Jiblah,13.9216,44.1467,67.69,61,18,1.99
383,Santa Rosalia,27.3167,-112.2833,69.42,38,0,11.63
384,Guhagar,17.4842,73.1929,88.79,59,95,12.24
385,Salihorsk,52.7876,27.5415,39.15,73,32,9.35
386,Porto Da Folha,-9.9172,-37.2783,70.79,87,13,3.22
387,Channel-Port Aux Basques,47.5702,-59.1367,36.1,64,0,4.21
388,Cockburn Town,21.4612,-71.1419,78.73,82,0,10.69
389,Fort Nelson,58.8053,-122.7002,31.59,86,100,12.66
390,Yatou,37.15,122.3833,60.31,53,96,9.71
391,Fredericton,45.9454,-66.6656,34.83,74,0,3.44
392,Pisco,-13.7,-76.2167,65.01,88,3,4.61
393,Dali,25.7,100.1833,74.3,45,19,5.91
394,Cap Malheureux,-19.9842,57.6142,77.47,74,1,3.0
395,Kortkeros,61.8106,51.5806,57.2,64,85,10.83
396,Ulaanbaatar,47.9077,106.8832,37.53,60,75,17.9
397,Quchan,37.106,58.5095,53.37,88,97,10.13
398,Pineville,31.3224,-92.4343,78.69,80,0,8.05
399,Talas,38.6908,35.5538,39.87,100,40,0.0
400,San Francisco,37.7749,-122.4194,53.04,68,3,15.99
401,Salekhard,66.53,66.6019,35.11,100,100,8.16
